[2025-05-30 11:24:09,807: INFO: __init__: Welcome to custom log]
[2025-05-30 12:44:20,178: INFO: __init__: Welcome to custom log]
[2025-05-30 12:45:51,144: INFO: __init__: Welcome to custom log]
[2025-05-30 12:47:28,793: INFO: __init__: Welcome to custom log]
[2025-05-30 12:47:38,277: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 12:47:38,279: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 12:53:57,183: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 12:55:07,335: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 12:55:07,338: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 13:05:53,162: INFO: __init__: Welcome to custom log]
[2025-05-30 13:06:05,296: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 13:06:05,297: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 13:07:26,290: INFO: __init__: Welcome to custom log]
[2025-05-30 13:07:35,892: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 13:07:35,895: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 13:07:35,896: INFO: common: created directory at: artifacts]
[2025-05-30 13:07:35,897: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-30 13:39:29,832: INFO: __init__: Welcome to custom log]
[2025-05-30 13:45:02,253: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 13:45:02,256: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 13:45:02,257: INFO: common: created directory at: artifacts]
[2025-05-30 13:45:02,259: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-30 13:45:02,260: ERROR: 3469047994: Failed to download file due to: 'DataIngestionConfig' object has no attribute 'source_URL']
[2025-05-30 13:46:39,088: INFO: __init__: Welcome to custom log]
[2025-05-30 13:46:50,034: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 13:46:50,036: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 13:46:50,037: INFO: common: created directory at: artifacts]
[2025-05-30 13:46:50,038: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-30 13:46:50,039: INFO: 3469047994: Downloading data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 13:51:12,204: INFO: 3469047994: Downloaded data from https://drive.google.com/file/d/1wqlI7hsen8Q7wpjzs3pUeGlDZKqci4W-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-30 17:46:05,737: INFO: __init__: Welcome to custom log]
[2025-05-30 17:46:06,355: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-05-30 17:46:06,356: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-30 17:46:06,357: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-30 17:46:06,357: INFO: common: created directory at: artifacts]
[2025-05-30 17:46:06,357: INFO: common: created directory at: artifacts/data_ingestion]
